conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
9.03,25.24,0.12,48.79,2.16
9.03,23.55,0.12,53.11,2.16
9.03,23.74,0.12,50.65,2.16
9.03,24.49,0.12,50.65,2.16
9.02,25.43,0.13,48.79,2.16
9.02,26.02,0.13,41.04,2.17
9.02,25.43,0.13,48.79,2.16
9.01,27.19,0.13,41.04,2.18
9.0,27.97,0.14,38.63,2.2
9.01,26.99,0.13,41.04,2.18
8.98,29.13,0.13,35.69,2.22
8.97,29.84,0.13,32.75,2.22
8.99,28.95,0.14,35.69,2.22
8.97,29.66,0.13,32.75,2.22
8.99,28.75,0.14,35.69,2.22
8.99,28.75,0.14,35.69,2.22
9.01,26.99,0.13,41.04,2.18
9.0,27.77,0.14,38.63,2.2
8.96,30.55,0.13,32.75,2.17
8.96,30.2,0.13,32.75,2.22
8.93,31.77,0.13,32.75,2.17
8.92,31.62,0.14,33.31,2.17
8.93,31.77,0.13,32.75,2.17
8.93,31.77,0.13,32.75,2.17
8.88,29.9,0.12,33.31,2.18
8.88,30.1,0.14,33.31,2.18
8.88,30.1,0.14,33.31,2.18
8.84,28.57,0.12,36.3,2.18
8.85,28.95,0.12,36.3,2.18
8.87,29.52,0.12,36.3,2.18
8.9,30.69,0.14,33.31,2.17
8.91,31.08,0.14,33.31,2.17
8.88,30.1,0.14,33.31,2.18
8.9,30.89,0.14,33.31,2.17
8.91,31.08,0.14,33.31,2.17
8.96,30.37,0.13,32.75,2.22
8.96,30.37,0.13,32.75,2.22
8.93,31.8,0.14,33.31,2.17
8.95,31.08,0.13,32.75,2.17
8.91,31.08,0.14,33.31,2.17
8.86,29.33,0.12,36.3,2.18
8.46,18.33,0.11,70.78,2.07
8.52,19.5,0.11,70.78,2.07
8.49,18.92,0.11,70.78,2.07
8.55,20.09,0.11,68.49,2.05
8.63,21.85,0.11,64.72,2.08
8.6,21.27,0.11,64.72,2.08
8.58,20.68,0.11,68.49,2.08
