conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
5.16,15.67,0.04,44.59,1.88
5.16,15.67,0.04,44.59,1.88
5.19,15.86,0.02,44.59,1.88
5.19,15.86,0.02,44.59,1.88
8.77,20.96,0.06,2.46,1.78
14.11,16.37,0.1,26.9,1.81
8.41,22.7,0.09,2.46,1.74
8.59,21.84,0.05,2.46,1.75
7.93,24.97,0.1,12.1,2.31
8.08,24.27,0.11,12.1,2.12
8.16,23.92,0.11,2.46,2.12
8.65,21.5,0.05,2.46,1.75
7.24,28.25,0.09,21.5,2.11
7.45,27.32,0.1,19.88,2.18
6.57,27.04,0.07,22.49,2.04
6.95,28.76,0.09,22.49,2.08
7.11,28.81,0.09,21.5,2.11
6.33,25.89,0.07,23.85,2.0
7.53,26.94,0.1,19.88,2.17
9.33,17.6,0.07,15.66,1.79
9.55,1.28,0.07,24.68,1.78
14.49,8.09,0.2,13.87,2.27
7.41,27.0,0.09,16.58,2.21
4.98,15.1,0.04,45.44,1.86
9.41,0.87,0.01,24.68,1.77
-9.31,4.57,0.0,31.6,1.71
9.38,2.08,0.03,27.45,1.75
-9.42,0.07,0.0,24.68,1.79
9.97,5.79,0.09,19.29,1.84
14.31,12.58,0.16,63.72,2.12
14.59,2.28,0.16,13.67,2.11
13.76,0.1,0.19,14.05,2.32
8.65,21.01,0.07,-0.02,1.8
5.42,19.7,0.02,42.34,1.93
6.29,26.08,0.07,21.58,2.03
9.24,10.02,0.01,8.14,1.56
5.19,16.62,0.02,47.65,1.9
10.31,10.0,0.09,20.04,1.95
10.49,12.51,0.13,18.47,1.98
9.47,0.49,0.07,24.68,1.79
9.66,2.47,0.08,21.28,1.79
-9.31,4.57,0.0,31.6,1.71
9.32,3.67,0.01,31.14,1.72
9.33,3.35,0.01,31.14,1.73
9.43,0.1,0.07,24.68,1.79
9.43,0.1,0.07,24.68,1.79
9.4,1.18,0.01,27.45,1.77
-9.42,0.07,0.0,24.68,1.79
-9.42,0.07,0.0,24.68,1.79
10.08,7.13,0.1,21.33,1.88
9.76,3.46,0.08,21.28,1.8
9.04,19.13,0.07,15.66,1.77
9.44,17.03,0.07,25.58,1.79
14.17,14.92,0.12,23.05,1.83
14.48,8.28,0.2,13.87,2.27
14.43,9.84,0.2,16.91,2.24
14.54,6.13,0.21,11.65,2.34
14.47,8.67,0.2,13.87,2.32
14.59,2.47,0.16,13.67,2.11
14.51,7.5,0.21,13.87,2.27
13.69,0.49,0.19,14.05,2.32
14.6,0.09,0.15,14.05,2.32
13.5,1.64,0.18,10.17,2.35
14.29,12.93,0.16,23.05,2.12
8.89,19.88,0.07,-0.02,1.77
9.0,19.32,0.07,15.66,1.77
8.3,22.74,0.11,4.44,1.77
8.58,21.36,0.06,-0.02,1.8
5.49,20.68,0.02,38.43,1.97
5.73,23.03,0.04,34.18,2.0
5.6,21.88,0.03,38.07,1.96
6.96,29.06,0.09,19.37,2.12
-9.31,6.8,0.0,31.81,1.64
4.55,13.16,0.03,48.46,1.8
4.77,14.14,0.03,48.46,1.81
4.11,10.83,0.01,38.07,1.7
5.1,15.67,0.04,45.44,1.86
4.73,13.94,0.03,48.46,1.81
5.1,15.67,0.04,45.44,1.86
5.2,16.81,0.02,47.65,1.9
5.13,15.86,0.02,45.44,1.9
5.36,18.52,0.01,45.31,1.91
