age,lon,lat,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
0.0,-68.48100000000001,-21.832,201.0,-68.48100000000001,-21.832,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.468,-21.901,201.0,-68.468,-21.901,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.461,-21.849,201.0,-68.461,-21.849,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.461,-21.886,201.0,-68.461,-21.886,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.458,-21.887,201.0,-68.458,-21.887,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.457,-21.886,201.0,-68.457,-21.886,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.453,-21.854,201.0,-68.453,-21.854,0.042,919.0,-71.07,-22.02,8.97,-17.42,1.95,157.56,0.18,94.79,911.0,201.0,30.2,30.2,8.56,-2.69,-1.8,0.74,-7.03,-15.97,6.76,-1.93,53.13,0.13,37.23,123.9,2.22
0.0,-68.188,-21.288,201.0,-68.188,-21.288,0.048,918.0,-71.08,-21.84,8.97,-1.09,1.95,173.91,0.18,78.46,911.0,201.0,30.37,30.37,8.97,-0.17,-1.94,0.21,-7.02,0.37,7.02,0.04,53.13,0.13,37.23,123.9,2.22
0.0,-68.188,-21.306,201.0,-68.188,-21.306,0.048,918.0,-71.08,-21.84,8.97,-1.09,1.95,173.91,0.18,78.46,911.0,201.0,30.37,30.37,8.97,-0.17,-1.94,0.21,-7.02,0.37,7.02,0.04,53.13,0.13,37.23,123.9,2.22
0.0,-68.183,-21.303,201.0,-68.183,-21.303,0.048,918.0,-71.08,-21.84,8.97,-1.09,1.95,173.91,0.18,78.46,911.0,201.0,30.37,30.37,8.97,-0.17,-1.94,0.21,-7.02,0.37,7.02,0.04,53.13,0.13,37.23,123.9,2.22
1.0,-69.0,-37.1,2901.0,-68.82300000000001,-37.047,0.073,810.0,-73.72,-35.68,8.99,-32.37,1.73,138.72,0.19,111.33,911.0,201.0,16.18,16.18,7.59,-4.81,-1.3,1.14,-7.29,-30.2,6.3,-3.67,35.42,0.1,89.99,99.18,1.9
1.0,-68.295,-21.319000000000006,201.0,-68.115,-21.266,0.046,913.0,-70.9,-21.79,8.96,-0.94,1.95,174.05,0.18,78.47,911.0,201.0,30.37,30.37,8.96,-0.15,-1.94,0.2,-7.02,0.52,7.02,0.06,54.13,0.13,32.75,125.1,2.22
2.0,-73.17,-45.1,283.0,-72.814,-44.994,0.031,723.0,-75.27,-45.37,8.72,5.38,1.52,173.0,0.14,74.32,911.0,201.0,6.25,6.25,8.68,0.82,-1.51,0.19,-7.25,8.02,7.17,1.01,7.48,0.04,38.72,79.31,0.67
